step,rewards/train/mean
874,1.125
875,1.1875
876,1.125
877,0.625
878,1.625
879,1.125
880,2.5
881,2.5
882,2.5
883,1.1875
884,1.3125
885,1.125
886,2.5
887,1.875
888,0.3125
889,1.8125
890,1.3125
891,1.5
892,0.75
893,1.8125
894,1.625
895,1.125
896,1.1875
897,0.5
898,1.125
899,0.125
900,1.125
901,0.8125
902,0.75
903,0.375
904,1.8125
905,0.75
906,1.28125
907,0.125
908,0.375
909,1.625
910,0.5625
911,0.375
912,0.375
913,0.5625
914,0.75
915,0.125
916,0.75
917,0.125
918,0.375
919,0.125
920,1.3125
921,0.5
922,0.125
923,0.375
924,0.75
925,0.125
926,0.375
927,0.3125
928,0.5625
929,1.625
930,0.125
931,1.625
932,0.9375
933,0.5625
934,0.3125
935,2.5
936,0.625
937,1.125
938,0.0
939,0.625
940,0.3125
941,0.3125
942,0.5625
943,0.0
944,0.5
945,0.5
946,2.5
947,0.125
948,0.3125
949,1.125
950,-0.125
951,1.625
952,0.25
953,1.5
954,1.4375
955,1.1875
956,1.625
957,2.5
958,0.125
959,0.75
960,0.65625
961,0.375
962,0.5625
963,0.75
964,0.375
965,1.3125
966,0.3125
967,1.4375
968,0.375
969,0.1875
970,0.75
971,1.4375
972,-0.125
973,0.75
974,0.1875
975,0.125
976,0.375
977,0.375
978,0.25
979,-0.125
980,0.5
981,0.375
982,0.25
983,1.625
984,2.5
985,0.375
986,0.125
987,1.8125
988,0.375
989,1.8125
990,0.375
991,0.5625
992,0.5
993,0.0
994,0.4375
995,0.9375
996,0.625
997,0.5625
998,0.625
999,-0.5
1000,0.0
1001,-0.125
1002,0.5
1003,-0.625
1004,0.25
1005,0.625
1006,0.3125
1007,0.5625
1008,-0.5
1009,1.5
1010,-0.375
1011,0.5625
1012,0.3125
1013,0.5625
1014,0.5625
1015,0.1875
1016,0.75
1017,0.0
1018,0.0
1019,0.3125
1020,0.5
1021,0.1875
1022,0.375
1023,0.4375
1024,0.5
1025,0.625
1026,0.75
1027,0.75
1028,0.5625
1029,0.75
1030,0.75
1031,0.3125
1032,0.1875
1033,0.5625
1034,0.125
1035,0.0
1036,0.625
1037,1.09375
1038,0.625
1039,0.75
1040,2.5
1041,0.0
1042,0.125
1043,0.9375
1044,0.375
1045,0.125
1046,1.125
1047,0.75
1048,0.625
1049,0.125
1050,0.125
1051,0.75
1052,0.375
1053,0.5625
1054,0.5
1055,0.625
1056,0.75
1057,0.125
1058,0.25
1059,0.375
1060,0.75
1061,0.5625
1062,1.625
1063,0.25
1064,0.25
1065,0.375
1066,0.375
1067,0.25
1068,1.625
1069,0.5
1070,0.375
1071,1.875
1072,0.5
1073,0.5625
1074,0.75
1075,0.75
1076,2.5
1077,0.5625
1078,0.75
1079,0.75
1080,0.375
1081,0.375
1082,1.4375
1083,0.9375
1084,-0.125
1085,0.125
1086,0.625
1087,-0.125
1088,1.96875
1089,-0.125
1090,0.4375
1091,0.6875
1092,0.75
1093,0.5
1094,1.3125
1095,2.5
1096,2.5
1097,1.1875
1098,0.5625
1099,0.75
1100,1.625
1101,1.1875
1102,2.5
1103,0.6875
1104,0.5
1105,0.5
1106,1.4375
1107,-0.125
1108,1.125
1109,2.5
1110,2.5
1111,1.1875
1112,0.5
1113,1.125
1114,2.5
1115,0.375
1116,0.5
1117,1.625
1118,0.75
1119,1.28125
1120,0.375
1121,0.25
1122,0.4375
1123,0.75
1124,0.375
1125,0.0
1126,0.3125
1127,0.25
1128,0.75
1129,2.5
1130,0.75
1131,0.75
1132,0.8125
1133,0.5625
1134,0.375
1135,0.375
1136,0.75
1137,0.375
1138,0.375
1139,0.5625
1140,0.75
1141,0.75
1142,0.125
1143,0.5625
1144,0.5625
1145,0.5625
1146,0.5625
1147,0.375
1148,0.5625
1149,0.75
1150,-0.125
1151,0.5625
1152,0.75
1153,0.375
1154,0.75
1155,1.125
1156,-0.125
1157,0.75
1158,0.125
1159,0.3125
1160,0.75
1161,0.375
1162,0.75
1163,0.5625
1164,0.375
1165,1.4375
1166,0.5625
1167,0.5
1168,0.375
1169,0.8125
1170,0.125
1171,0.375
1172,0.125
1173,0.75
1174,0.8125
1175,0.75
1176,0.375
1177,-0.125
1178,-0.125
1179,0.125
1180,0.3125
1181,1.875
1182,0.375
1183,0.25
1184,0.375
1185,0.75
1186,0.75
1187,1.125
1188,0.9375
1189,0.375
1190,0.75
1191,0.25
1192,0.125
1193,0.5625
1194,0.375
1195,0.375
1196,1.09375
1197,0.125
1198,0.75
1199,1.625
1200,0.375
1201,0.5625
1202,0.125
1203,0.375
1204,0.5625
1205,0.375
1206,1.8125
1207,0.75
1208,0.75
1209,1.8125
1210,0.125
1211,0.75
1212,0.125
1213,0.5625
1214,0.375
1215,0.375
1216,0.25
1217,0.75
1218,0.375
1219,0.75
1220,0.25
1221,0.4375
1222,0.3125
1223,1.1875
1224,0.375
1225,-0.125
1226,2.5
1227,0.25
1228,0.5625
1229,0.75
1230,0.25
1231,0.5625
1232,0.375
1233,0.0
1234,0.375
1235,0.375
1236,1.1875
1237,0.75
1238,0.75
1239,1.8125
1240,0.75
1241,0.375
1242,0.75
1243,0.25
1244,0.5625
1245,0.75
1246,0.125
1247,0.125
1248,0.0
1249,0.375
1250,0.375
1251,0.375
1252,0.375
1253,0.375
1254,0.375
1255,0.5625
1256,0.25
1257,0.125
1258,0.375
1259,0.375
1260,0.5625
1261,0.3125
1262,0.5625
1263,0.5625
1264,0.375
1265,0.375
1266,0.5
1267,0.125
1268,0.5625
1269,0.5625
1270,0.375
1271,0.375
1272,0.8125
1273,0.375
1274,1.125
1275,0.125
1276,0.375
1277,0.375
1278,0.25
1279,1.1875
1280,0.375
1281,0.8125
1282,0.8125
1283,0.5625
1284,0.4375
1285,0.75
1286,0.375
1287,0.75
1288,0.3125
1289,0.375
1290,0.375
1291,0.5625
1292,1.8125
1293,0.75
1294,1.875
1295,0.5625
1296,0.375
1297,0.9375
1298,0.125
1299,1.3125
1300,1.4375
1301,0.9375
1302,1.25
1303,0.375
1304,-0.125
1305,1.625
1306,1.125
1307,0.125
1308,0.75
1309,0.375
1310,-0.125
1311,0.375
1312,0.9375
1313,0.125
1314,0.75
1315,0.375
1316,0.375
1317,0.4375
1318,0.125
1319,0.6875
1320,0.75
1321,0.8125
1322,0.78125
1323,0.125
1324,0.4375
1325,0.75
1326,-0.1875
1327,0.75
1328,1.4375
1329,0.9375
1330,1.3125
1331,0.125
1332,1.4375
1333,1.1875
1334,2.5
1335,1.8125
1336,0.75
1337,1.125
1338,1.125
1339,0.5625
1340,1.71875
1341,0.5
1342,0.375
1343,1.875
1344,0.375
1345,1.125
1346,2.5
1347,1.125
1348,0.75
1349,2.5
1350,0.75
1351,0.5
1352,-0.125
1353,1.4375
1354,0.5625
1355,0.5
1356,0.375
1357,1.625
1358,0.75
1359,0.5
1360,0.125
1361,0.125
1362,0.5625
1363,-0.125
1364,0.0625
1365,0.5
1366,2.1875
1367,0.5625
1368,0.75
1369,0.8125
1370,0.5625
1371,0.125
1372,0.3125
1373,2.5
1374,0.75
1375,0.625
1376,1.125
1377,0.5
1378,0.3125
1379,0.5625
1380,0.375
1381,0.75
1382,1.1875
1383,0.375
1384,0.3125
1385,0.5
1386,1.1875
1387,0.125
1388,1.125
1389,0.125
1390,0.8125
1391,0.125
1392,1.1875
1393,0.375
1394,0.75
1395,-0.625
1396,1.125
1397,1.875
1398,0.5625
1399,0.5
1400,-0.125
1401,1.1875
1402,0.75
1403,0.75
1404,0.125
1405,1.625
1406,1.1875
1407,0.75
1408,-0.125
1409,0.75
1410,1.625
1411,1.1875
1412,-0.125
1413,0.90625
1414,2.5
1415,1.125
1416,1.875
1417,0.5
1418,0.375
1419,2.5
1420,1.625
1421,0.9375
1422,0.5
1423,0.75
1424,0.75
1425,1.8125
1426,0.3125
1427,1.4375
1428,1.625
1429,-0.125
1430,1.125
1431,-0.125
1432,1.4375
1433,-0.125
1434,0.25
1435,-0.125
1436,1.125
1437,0.125
1438,1.125
1439,1.8125
1440,0.375
1441,1.8125
1442,-0.125
1443,0.5625
1444,0.65625
1445,-0.125
1446,-0.125
1447,1.625
1448,0.125
1449,0.3125
1450,-0.375
1451,1.125
1452,-0.0625
1453,-0.125
1454,0.375
1455,0.125
1456,0.65625
1457,0.375
1458,1.09375
1459,0.125
1460,0.375
1461,0.375
1462,0.125
1463,0.9375
1464,-0.375
1465,0.125
1466,1.1875
1467,0.3125
1468,0.0625
1469,0.4375
1470,1.1875
1471,1.625
1472,0.9375
1473,1.0625
1474,0.75
1475,0.5
1476,0.0625
1477,0.1875
1478,-0.0625
1479,-0.375
1480,0.3125
1481,0.125
1482,0.0625
1483,0.0625
1484,0.25
1485,-0.375
1486,-0.375
1487,0.1875
1488,-0.25
1489,-0.125
1490,0.25
1491,0.375
1492,-0.25
1493,-0.5
1494,-0.125
1495,-0.0625
1496,0.5625
1497,-0.125
1498,-0.125
1499,0.0
1500,0.5
1501,-0.375
1502,0.0
1503,-0.125
1504,0.375
1505,-0.5
1506,0.125
1507,-0.125
1508,0.375
1509,1.4375
1510,1.5625
1511,0.0625
1512,-0.25
1513,-0.0625
1514,1.5625
1515,0.375
1516,1.125
1517,0.53125
1518,0.25
1519,0.5
1520,-0.375
1521,-0.125
1522,0.0625
1523,0.375
1524,0.0
1525,0.5
1526,-0.375
1527,0.375
1528,0.25
1529,-0.375
1530,0.375
1531,0.9375
1532,0.125
1533,0.9375
1534,1.03125
1535,2.25
1536,0.125
1537,0.125
1538,0.125
1539,1.375
1540,-0.5
1541,0.125
1542,0.125
1543,0.375
1544,0.65625
1545,0.375
1546,0.5
1547,1.75
1548,2.0625
1549,0.875
1550,2.25
1551,-0.375
1552,0.125
1553,1.1875
1554,1.375
1555,0.8125
1556,0.125
1557,0.5
1558,0.125
1559,0.9375
1560,0.0
1561,1.125
1562,2.25
1563,-0.375
1564,-0.375
1565,-0.0625
1566,1.375
1567,0.375
1568,0.6875
1569,0.375
1570,0.0
1571,1.5625
1572,1.375
1573,1.125
1574,1.625
1575,1.25
1576,1.8125
1577,-0.125
1578,0.0625
1579,-0.25
1580,1.5625
1581,1.125
1582,-0.125
1583,0.875
1584,1.125
1585,0.375
1586,-0.375
1587,0.375
1588,1.5625
1589,2.25
1590,0.6875
1591,0.5
1592,0.875
1593,0.375
1594,1.125
1595,0.5625
1596,0.125
1597,1.0625
1598,1.1875
1599,1.1875
1600,1.25
1601,0.875
1602,1.1875
1603,-0.125
1604,1.125
1605,0.6875
1606,-0.375
1607,2.25
1608,0.65625
1609,-0.1875
1610,0.375
1611,0.5
1612,0.6875
1613,0.5
1614,0.3125
1615,1.375
1616,-0.375
1617,1.5625
1618,-0.625
1619,1.0625
1620,0.0
1621,0.53125
1622,1.71875
1623,0.5
1624,0.0
1625,0.5
1626,1.1875
1627,1.625
1628,0.0
1629,0.125
1630,0.25
1631,0.0
1632,0.5
1633,1.625
1634,0.5
1635,0.5
1636,0.25
1637,2.25
1638,0.5
1639,1.0625
1640,0.0625
1641,2.25
1642,0.875
1643,1.125
1644,0.875
1645,0.25
1646,0.5
1647,1.375
1648,0.75
1649,0.5
1650,1.625
1651,2.25
1652,2.25
1653,1.03125
1654,0.25
1655,0.875
1656,0.875
1657,0.3125
1658,0.9375
1659,1.03125
1660,2.25
1661,0.375
1662,1.375
1663,2.25
1664,1.625
1665,0.9375
1666,1.03125
1667,0.0625
1668,0.875
1669,2.25
1670,0.4375
1671,0.875
1672,-0.125
1673,1.125
1674,0.875
1675,-0.125
1676,0.65625
1677,2.25
1678,1.375
1679,0.5
1680,1.5625
1681,0.125
1682,1.0625
1683,0.3125
1684,-0.0625
1685,0.125
1686,0.875
1687,-0.125
1688,-0.25
1689,1.1875
1690,2.25
1691,0.3125
1692,0.125
1693,0.5
1694,0.65625
1695,0.875
1696,0.5
1697,2.25
1698,0.875
1699,0.125
1700,0.5
1701,0.5
1702,1.375
1703,0.0625
1704,0.5
1705,-0.375
1706,1.71875
1707,1.1875
1708,0.25
1709,1.375
1710,0.3125
1711,0.25
1712,-0.25
1713,0.25
1714,0.125
1715,0.125
1716,1.5625
1717,0.6875
1718,-0.125
1719,0.5
1720,0.65625
1721,0.0625
1722,-0.125
1723,0.5
1724,1.75
1725,0.125
1726,-0.125
1727,0.25
1728,0.875
1729,0.375
1730,0.125
1731,0.25
1732,0.125
1733,-0.125
1734,0.9375
1735,1.4375
1736,1.1875
1737,0.0625
1738,0.1875
1739,1.1875
1740,-0.125
1741,0.0625
1742,0.5
1743,0.6875
1744,0.3125
1745,0.125
1746,0.25
1747,1.25
1748,-0.125
1749,0.0
1750,0.125
1751,0.5
1752,1.125
1753,0.125
1754,0.0
1755,0.5625
1756,-0.125
1757,1.03125
1758,0.9375
1759,0.3125
1760,0.4375
1761,0.3125
1762,-0.125
1763,0.3125
1764,0.125
1765,0.5
1766,-0.5
1767,0.0625
1768,-0.125
1769,0.3125
1770,0.5
1771,0.3125
1772,-0.125
1773,0.5625
1774,0.4375
1775,-0.125
1776,-0.125
1777,0.5
1778,0.125
1779,0.0625
1780,0.0
1781,0.75
1782,1.375
1783,0.5
1784,0.5
1785,0.0
1786,0.3125
1787,0.5
1788,0.5
1789,0.125
1790,0.125
1791,-0.125
1792,1.96875
1793,-0.375
1794,0.125
1795,0.125
1796,-0.125
1797,0.25
1798,0.0625
1799,0.125
1800,0.125
1801,0.3125
1802,0.5
1803,-0.125
1804,0.125
1805,-0.125
1806,0.125
1807,0.0
1808,0.0
1809,0.5
1810,-0.375
1811,0.40625
1812,-0.125
1813,0.0
1814,0.3125
1815,0.875
1816,-0.375
1817,0.0625
1818,0.375
1819,-0.375
1820,0.9375
1821,-0.125
1822,-0.125
1823,0.0625
1824,-0.375
1825,0.0
1826,-0.375
1827,-0.125
1828,0.0625
1829,0.0625
1830,0.9375
1831,0.25
1832,-0.25
1833,0.25
1834,1.0625
1835,-0.375
1836,0.5
1837,-0.375
1838,-0.375
1839,-0.375
1840,0.5
1841,0.125
1842,-0.375
1843,-0.125
1844,0.5
1845,-0.375
1846,-0.125
1847,1.125
1848,-0.125
1849,-0.375
1850,-0.375
1851,0.25
1852,0.90625
1853,-0.125
1854,-0.375
1855,0.125
1856,0.125
1857,-0.125
1858,0.9375
1859,0.0625
1860,0.0625
1861,-0.125
1862,0.0625
1863,0.0625
1864,1.1875
1865,-0.125
1866,-0.375
1867,-0.125
1868,-0.125
1869,-0.125
1870,-0.375
1871,-0.375
1872,-0.25
1873,-0.375
1874,1.1875
1875,-0.375
1876,-0.5
1877,-0.375
1878,-0.375
1879,-0.25
1880,-0.125
1881,0.0625
1882,-0.375
1883,-0.375
1884,-0.375
1885,-0.375
1886,0.75
1887,-0.375
1888,-0.375
1889,0.0
1890,-0.25
1891,-0.5
1892,-0.125
1893,0.6875
1894,0.3125
1895,-0.25
1896,-0.375
1897,0.0625
1898,-0.375
1899,-0.375
1900,-0.375
1901,0.0625
1902,-0.375
1903,-0.375
1904,-0.375
1905,1.0625
1906,-0.375
1907,-0.375
1908,-0.1875
1909,-0.375
1910,-0.125
1911,-0.125
1912,-0.375
1913,-0.375
1914,-0.125
1915,-0.375
1916,-0.125
1917,-0.125
1918,0.125
1919,0.125
1920,-0.5
1921,-0.125
1922,-0.1875
1923,0.625
1924,-0.375
1925,0.3125
1926,-0.375
1927,-0.125
1928,0.25
1929,-0.0625
1930,0.9375
1931,-0.125
1932,-0.125
1933,0.125
1934,-0.125
1935,-0.125
1936,0.5
1937,-0.375
1938,0.0625
1939,0.9375
1940,-0.375
1941,0.3125
1942,0.5
1943,-0.125
1944,0.0625
1945,0.125
1946,-0.125
1947,-0.125
1948,0.125
1949,0.0625
1950,0.125
1951,-0.1875
1952,-0.375
1953,0.3125
1954,0.5625
1955,0.0625
1956,-0.0625
1957,-0.125
1958,0.125
1959,-0.125
1960,0.0625
1961,0.125
1962,1.625
1963,0.3125
1964,-0.125
1965,0.5
1966,1.375
1967,-0.125
1968,0.5
1969,0.125
1970,-0.125
1971,0.3125
1972,-0.375
1973,0.5
1974,0.125
1975,-0.125
1976,-0.3125
1977,-0.375
1978,0.9375
1979,0.0625
1980,0.3125
1981,0.1875
1982,0.125
1983,1.125
1984,-0.25
1985,-0.375
1986,0.25
1987,2.25
1988,-0.125
1989,0.125
1990,1.25
1991,-0.5
1992,1.1875
1993,-0.125
1994,-0.375
1995,-0.125
1996,1.25
1997,-0.125
1998,1.125
1999,0.65625
2000,-0.125
2001,2.25
2002,0.125
2003,-0.125
2004,0.125
2005,0.3125
2006,0.875
2007,1.1875
2008,0.375
2009,-0.125
2010,0.9375
2011,0.5
2012,0.1875
