step,rewards/train/mean
0,0.0625
1,0.25
2,0.0625
3,-0.125
4,-0.625
5,0.875
6,0.0625
7,0.25
8,-0.375
9,0.25
10,-0.375
11,0.25
12,-0.0625
13,-0.0625
14,0.25
15,0.25
16,0.125
17,-0.375
18,-0.25
19,-0.625
20,0.0625
21,0.25
22,0.25
23,0.0625
24,-0.125
25,0.125
26,0.25
27,0.0625
28,0.25
29,0.0625
30,0.875
31,-0.0625
32,0.0625
33,-0.125
34,0.25
35,-0.375
36,0.25
37,-0.1875
38,-0.25
39,-0.125
40,0.125
41,0.25
42,-0.25
43,0.0625
44,0.25
45,0.0
46,0.25
47,1.375
48,0.0625
49,-0.125
50,0.25
51,0.0625
52,0.25
53,0.25
54,0.25
55,0.25
56,-0.125
57,-0.125
58,0.25
59,0.1875
60,0.0625
61,-0.125
62,-0.375
63,-0.1875
64,0.25
65,-0.125
66,0.25
67,-0.25
68,-0.375
69,0.25
70,0.875
71,0.25
72,0.375
73,-0.625
74,-0.375
75,0.25
76,0.6875
77,-0.125
78,0.25
79,-0.125
80,-0.125
81,0.0625
82,0.0
83,1.8125
84,-0.125
85,0.0625
86,0.25
87,0.25
88,0.0
89,0.25
90,0.375
91,0.25
92,-0.125
93,-0.375
94,-0.625
95,0.25
96,0.25
97,0.0
98,0.25
99,-0.375
100,0.875
101,0.0625
102,0.25
103,-0.125
104,0.0625
105,0.65625
106,0.25
107,0.25
108,0.0625
109,0.25
110,0.25
111,0.25
112,-0.1875
113,0.25
114,0.25
115,-0.1875
116,-0.125
117,-0.375
118,0.25
119,-0.375
120,-0.375
121,-0.25
122,-0.375
123,1.625
124,-0.0625
125,-0.25
126,0.125
127,0.25
128,-0.375
129,-0.5
130,-0.125
131,0.875
132,0.0625
133,-0.125
134,0.25
135,0.25
136,0.875
137,0.25
138,0.25
139,-0.125
140,1.125
141,0.875
142,-0.0625
143,0.0625
144,-0.125
145,0.71875
146,1.0625
147,0.25
148,0.125
149,0.25
150,2.25
151,-0.0625
152,1.5625
153,-0.375
154,0.375
155,0.8125
156,0.875
157,2.5
158,2.25
159,1.25
160,0.125
161,2.25
162,-0.25
163,1.125
164,1.375
165,1.125
166,0.0625
167,0.0625
168,0.375
169,0.875
170,0.875
171,2.25
172,0.875
173,0.875
174,1.5625
175,0.25
176,0.875
177,0.40625
178,1.5625
179,0.875
180,-0.375
181,0.5
182,0.875
183,2.25
184,1.8125
185,1.5625
186,1.625
187,0.9375
188,2.5
189,-0.625
190,1.1875
191,0.5625
192,0.375
193,0.5
194,0.75
195,0.875
196,0.25
197,1.375
198,2.25
199,2.25
200,2.5
201,0.5
202,2.25
203,1.4375
204,2.25
205,0.25
206,-0.125
207,0.0625
208,0.875
209,0.25
210,0.5
211,2.25
212,0.75
213,1.5625
214,0.9375
215,0.375
216,0.8125
217,-0.1875
218,1.4375
219,2.5
220,2.5
221,1.125
222,0.375
223,-0.125
224,0.625
225,1.125
226,2.5
227,1.125
228,1.1875
229,1.1875
230,1.8125
231,2.5
232,2.5
233,-0.25
234,1.4375
235,1.125
236,2.5
237,0.78125
238,1.8125
239,0.625
240,1.125
241,0.75
242,2.5
243,1.8125
244,1.125
245,1.125
246,1.8125
247,0.5
248,1.125
249,1.125
250,1.8125
251,0.5
252,0.25
253,1.8125
254,2.5
255,1.8125
256,1.8125
257,1.8125
258,0.3125
259,0.25
260,2.5
261,1.125
262,-0.125
263,1.5
264,0.5
265,1.3125
266,1.5
267,1.125
268,1.8125
269,1.625
270,2.5
271,1.125
272,0.375
273,1.8125
274,0.75
275,0.375
276,1.8125
277,1.5
278,0.5
279,1.125
280,2.5
281,2.5
282,2.5
283,1.28125
284,1.125
285,1.125
286,1.125
287,0.625
288,2.5
289,2.0
290,2.5
291,1.8125
292,1.125
293,2.5
294,2.0
295,0.25
296,1.125
297,0.75
298,0.5
299,1.125
300,0.625
301,2.5
302,0.625
303,1.8125
304,0.78125
305,1.8125
306,1.8125
307,1.8125
308,0.5
309,0.5625
310,2.5
311,1.4375
312,2.5
313,0.5
314,1.625
315,2.5
316,1.125
317,2.5
318,1.125
319,1.625
320,0.0
321,2.5
322,1.8125
323,0.625
324,0.65625
325,2.5
326,1.125
327,1.5
328,1.8125
329,1.8125
330,1.8125
331,1.3125
332,1.25
333,1.3125
334,0.125
335,1.125
336,2.1875
337,2.5
338,-0.125
339,1.1875
340,2.5
341,2.5
342,0.5
343,1.625
344,1.09375
345,2.5
346,2.5
347,1.28125
348,1.3125
349,0.75
350,1.625
351,2.5
352,-0.125
353,0.0
354,1.125
355,2.5
356,1.125
357,1.3125
358,0.0
359,2.5
360,1.875
361,2.5
362,1.625
363,1.3125
364,1.3125
365,2.5
366,2.5
367,1.3125
368,0.125
369,0.0
370,1.3125
371,2.0
372,1.125
373,2.5
374,0.125
375,1.8125
376,1.875
377,2.5
378,2.5
379,1.125
380,1.125
381,2.5
382,1.0
383,1.25
384,1.125
385,2.5
386,0.625
387,2.5
388,1.625
389,0.625
390,1.5
391,1.4375
392,0.9375
393,0.0
394,1.3125
395,0.5
396,1.1875
397,2.5
398,1.5
399,1.125
400,1.3125
401,0.125
402,1.125
403,2.5
404,1.125
405,2.5
406,1.8125
407,0.5
408,0.25
409,1.8125
410,1.3125
411,1.125
412,1.125
413,0.625
414,1.125
415,0.5
416,2.5
417,2.5
418,2.5
419,1.25
420,1.8125
421,2.5
422,1.125
423,2.0
424,0.5
425,2.5
426,0.5625
427,0.5
428,1.125
429,1.125
430,2.5
431,2.5
432,2.5
433,1.125
434,2.5
435,1.8125
436,1.8125
437,1.125
438,1.8125
439,0.5
440,2.5
441,1.125
442,2.5
443,2.1875
444,2.5
445,2.5
446,2.5
447,2.5
448,1.8125
449,1.8125
450,2.5
451,2.5
452,1.8125
453,1.125
454,2.5
455,2.5
456,0.5
457,1.625
458,2.5
459,1.8125
460,2.5
461,1.125
462,2.5
463,2.5
464,1.125
465,1.34375
466,1.125
467,2.5
468,0.5
469,0.5
470,1.28125
471,1.625
472,1.125
473,2.5
474,1.8125
475,1.125
476,2.5
477,1.125
478,2.5
479,2.5
480,1.8125
481,1.125
482,0.5
483,1.28125
484,1.8125
485,2.0
486,1.125
487,2.5
488,0.5
489,2.5
490,2.5
491,2.5
492,1.8125
493,1.125
494,2.5
495,0.5
496,-0.125
497,2.5
498,1.8125
499,0.75
500,1.8125
501,1.28125
502,0.5
503,1.8125
504,1.125
505,1.8125
506,0.75
507,2.5
508,0.125
509,1.8125
510,1.8125
511,-0.125
512,0.8125
513,1.4375
514,2.5
515,2.5
516,1.28125
517,0.625
518,2.0
519,1.125
520,1.96875
521,2.5
522,2.5
523,2.1875
524,1.125
525,1.8125
526,2.5
527,2.5
528,1.8125
529,0.5
530,1.8125
531,1.4375
532,0.5
533,1.125
534,1.1875
535,1.125
536,1.125
537,-0.125
538,1.625
539,1.8125
540,2.5
541,2.5
542,0.9375
543,0.9375
544,1.125
545,1.8125
546,1.1875
547,1.25
548,1.8125
549,2.5
550,2.5
551,1.8125
552,2.5
553,1.125
554,-0.125
555,2.0
556,2.0
557,1.125
558,2.5
559,1.1875
560,0.5
561,0.8125
562,0.5
563,1.8125
564,0.5
565,0.5625
566,1.125
567,1.1875
568,2.5
569,2.1875
570,1.8125
571,2.5
572,1.125
573,2.5
574,1.3125
575,2.5
576,-0.125
577,1.125
578,2.5
579,1.96875
580,1.1875
581,1.8125
582,1.8125
583,-0.125
584,1.8125
585,0.5
586,2.5
587,1.125
588,1.1875
589,1.3125
590,2.5
591,1.125
592,1.8125
593,1.1875
594,1.125
595,0.5
596,1.8125
597,2.5
598,2.5
599,1.125
600,1.8125
601,1.8125
602,2.5
603,1.8125
604,1.6875
605,1.8125
606,2.5
607,0.3125
608,1.25
609,2.5
610,1.5
611,1.125
612,1.8125
613,2.5
614,1.125
615,1.8125
616,2.5
617,1.125
618,1.8125
619,1.125
620,1.8125
621,1.1875
622,1.28125
623,1.125
624,1.96875
625,1.125
626,1.25
627,1.0625
628,1.0
629,0.5
630,2.5
631,1.1875
632,1.125
633,1.125
634,1.125
635,1.125
636,1.125
637,1.125
638,0.75
639,1.46875
640,1.125
641,1.4375
642,2.0
643,1.125
644,0.5
645,0.6875
646,1.34375
647,0.375
648,1.8125
649,1.8125
650,1.125
651,1.875
652,1.125
653,2.5
654,1.25
655,1.125
656,1.125
657,0.5
658,1.125
659,0.75
660,0.75
661,0.75
662,1.1875
663,1.8125
664,1.4375
665,1.1875
666,1.125
667,1.125
668,0.625
669,1.8125
670,1.5
671,1.125
672,1.4375
673,1.125
674,0.8125
675,1.5
676,1.875
677,1.8125
678,1.125
679,0.75
680,1.125
681,1.125
682,1.125
683,0.25
684,1.125
685,1.875
686,2.5
687,1.1875
688,2.5
689,1.125
690,1.625
691,1.8125
692,1.5
693,1.125
694,1.125
695,2.5
696,1.8125
697,1.125
698,1.125
699,0.75
700,1.125
701,0.875
702,1.8125
703,2.5
704,1.125
705,0.8125
706,0.75
707,1.125
708,1.8125
709,0.75
710,1.8125
711,1.8125
712,2.375
713,1.125
714,1.125
715,1.125
716,1.1875
717,1.8125
718,1.5
719,1.0
720,2.5
721,0.90625
722,2.5
723,0.75
724,1.1875
725,1.125
726,1.1875
727,1.125
728,1.125
729,0.5
730,2.5
731,0.75
732,1.1875
733,1.125
734,1.8125
735,2.5
736,1.25
737,1.125
738,1.96875
739,1.875
740,1.8125
741,1.5
742,2.5
743,1.4375
744,1.1875
745,1.125
746,1.1875
747,0.75
748,1.8125
749,0.75
750,1.8125
751,1.8125
752,1.1875
753,1.3125
754,1.1875
755,0.125
756,1.125
757,1.375
758,1.125
759,1.125
760,2.5
761,2.5
762,1.1875
763,1.125
764,1.4375
765,1.625
766,1.8125
767,1.8125
768,1.125
769,0.375
770,1.125
771,1.28125
772,1.125
773,1.8125
774,2.5
775,1.875
776,1.1875
777,1.1875
778,0.75
779,1.4375
780,0.5
781,0.5
782,1.125
783,0.5
784,0.75
785,1.1875
786,1.8125
787,2.5
788,1.96875
789,1.125
790,2.5
791,1.25
792,1.8125
793,1.3125
794,1.125
795,1.8125
796,1.125
797,1.8125
798,1.125
799,1.1875
800,1.125
801,1.1875
802,1.125
803,1.125
804,1.34375
805,2.5
806,1.8125
807,1.8125
808,2.5
809,1.125
810,2.5
811,1.1875
812,1.125
813,2.5
814,2.5
815,1.125
816,0.75
817,1.1875
818,-0.125
819,1.125
820,1.25
821,0.75
822,1.125
823,0.8125
824,1.4375
825,-0.125
826,1.1875
827,1.125
828,1.125
829,0.5
830,2.5
831,0.5625
832,1.1875
833,1.8125
834,0.5
835,2.5
836,1.28125
837,1.8125
838,1.8125
839,1.8125
840,1.96875
841,-0.125
842,1.125
843,1.3125
844,1.25
845,2.5
846,1.8125
847,1.3125
848,1.4375
849,0.5
850,1.125
851,0.5
852,1.1875
853,1.125
854,1.125
855,2.5
856,1.125
857,2.5
858,1.625
859,1.8125
860,2.5
861,0.90625
862,1.8125
863,2.5
864,2.5
865,1.125
866,1.5
867,1.4375
868,-0.125
869,2.5
870,1.125
871,1.8125
872,1.625
873,2.5
